h,size,length,basicity_avg,hydrophobicity_avg,helicity_avg,mutation stability_avg,basicity_var,hydrophobicity_var,helicity_var,mutation stability_var,pgen_avg,pgen_var
0.17158895919239378,28,9,211.07272727272726,-0.10185064935064934,1.045487012987013,21.519480519480517,2.0290847872665925,0.1263499529931348,0.0003178134155406873,1.5738335738335734,1.5457568311400312e-06,2.426085211915025e-12
0.16549143740360173,34,9,211.52727272727273,-0.42639037433155075,1.0288770053475937,19.705882352941178,1.4344803405960302,0.15770961609286838,0.0006673708401467273,1.809696380430457,7.209793491548519e-07,4.708264794553688e-13
0.185094391627088,29,9,210.23793103448276,0.17100313479623824,1.0755485893416927,20.57680250783699,2.90160607417662,0.17389352684932627,0.00043880429914913065,1.2900093636770744,7.229936664748591e-07,4.632787330435444e-13
0.14628957014248,120,11,210.34416666666667,-0.026948717948717955,1.0755897435897437,20.325641025641023,1.5127487403245163,0.1515641681998243,0.0004626894071237977,1.8523925546549982,3.624564796865039e-07,1.9275263138385343e-13
0.09090909090909091,2,11,209.26923076923077,0.15730769230769234,1.1015384615384616,20.615384615384613,0.10650887573964093,0.11854704142011832,4.260355029585933e-05,0.29585798816567976,1.923318397840828e-07,6.429488461018743e-14
0.11062883515351811,4,11,211.67115384615383,-0.37961538461538435,1.0340384615384615,21.134615384615387,1.072953648915193,0.01218639053254436,0.00019265285996055367,0.3565088757396433,3.3093728311471183e-07,3.2186311187074345e-14
0.1548698717004006,19,11,210.7433198380567,-0.3148582995951417,1.0574898785425102,19.157894736842106,2.165537215820614,0.12654760372331225,0.0008318107893006691,0.8372608048721406,2.475347453311268e-07,7.674617866853429e-14
0.11705323870763235,7,11,209.91208791208786,-0.654945054945055,1.0492307692307692,21.076923076923077,1.005835446604681,0.08417373908143137,0.0004441814595660734,0.9309664694280076,2.2907802505105125e-07,6.854011793795325e-14
0.15008363412032183,21,10,210.10952380952378,0.5324999999999999,1.0902380952380952,22.82936507936508,1.157724206349204,0.16749298611111113,0.00040507936507936184,1.9794973544973544,2.1486293288633409e-07,2.3356809877778405e-14
0.1515088287346119,29,11,209.79071618037133,0.2544562334217506,1.0970291777188328,22.692307692307693,1.2592661847436104,0.17243213775614308,0.000254933395516951,1.626796280642435,3.302967058033358e-07,1.1036655315616994e-13
0.1491524857112812,13,11,209.86686390532543,-0.05467455621301773,1.0646153846153845,22.544378698224854,0.06614777727203613,0.13604974965862537,0.00019003944773175488,1.9807313002579285,3.828455929791479e-07,7.60758157102134e-14
0.1322305728896233,8,10,211.39791666666665,-0.3339583333333333,1.0252083333333333,19.4375,0.42479662698411774,0.1609620535714286,0.0007229662698412682,1.4439484126984148,2.8751299377694115e-07,1.3311176729240455e-13
0.16287288132532932,52,10,210.68012820512817,0.00860576923076921,1.069727564102564,20.682692307692307,2.9910107675549225,0.2546239303146472,0.0011350686588738055,2.202897184514831,6.457468940788562e-07,4.649729505814215e-13
0.14163991595025277,9,11,210.97863247863245,-0.4234188034188034,1.063162393162393,20.36752136752137,2.0377925706771745,0.11606140696909927,0.0014463675213675228,1.3680144641683096,4.4387394255472857e-07,2.1968667230076943e-13
0.09090909090909091,2,11,208.7423076923077,-0.25538461538461527,1.085,22.192307692307693,0.07103550295857469,0.0006260355029585825,6.656804733727763e-05,0.8550295857988152,4.833064294443828e-07,6.003532369688508e-14
0.12169171866886992,4,10,209.51041666666663,-0.31500000000000006,1.05375,20.333333333333332,0.10140625000000186,0.022394444444444456,0.00015208333333333296,0.5324074074074064,4.098392921596971e-09,9.964507664157791e-18
0.09090909090909091,2,11,211.18846153846147,-0.26884615384615396,1.0773076923076923,21.46153846153846,0.04050295857987176,0.0356239644970414,2.3964497041421638e-05,0.5798816568047354,1.1204301537460868e-07,4.753317190117389e-15
0.09090909090909091,2,11,212.56923076923073,-0.12769230769230772,1.0434615384615384,23.230769230769234,0.06816568047337754,0.2772260355029586,0.0014914201183431894,0.5798816568047354,7.349729493973073e-09,8.14546204784627e-18
0.09090909090909091,2,11,212.09999999999997,0.47153846153846163,1.0534615384615384,24.07692307692308,0.11372781065089185,0.03624260355029587,2.6627218934914642e-06,0.4260355029585785,3.0992131456205378e-12,1.921005018032034e-23
0.1354114434750989,13,11,209.9644970414201,0.05881656804733726,1.0623668639053252,22.337278106508872,0.1761197086936713,0.1082767865270824,0.0004479745106964002,2.2766651494462153,8.039669937788285e-07,7.041613215671316e-13
0.09090909090909091,2,11,209.02692307692308,-0.4603846153846153,1.0488461538461538,22.423076923076923,0.21375739644969913,0.17678372781065085,1.4497041420118598e-05,5.991124260355024,1.5755125237788058e-07,3.145730919327469e-14
0.15834565432847653,14,10,210.60952380952378,-0.13083333333333333,1.0505357142857144,22.636904761904763,2.0938659951159773,0.2389916666666666,0.0008629922161172134,2.2004349816849844,1.0368056066592817e-06,9.814191207904667e-13
0.11819406577028141,6,11,210.59358974358972,-0.36166666666666664,1.04,18.74358974358974,0.7192761341223065,0.06113548323471403,0.00010248520710059109,0.47258382642998137,3.8427918181566456e-07,1.0880167222879432e-13
0.14559500731106836,27,11,210.69743589743587,-0.15293447293447293,1.0625925925925923,21.153846153846157,1.5450659990896634,0.1443282675028237,0.0004324145720595415,1.334091943559399,3.750983922983801e-07,2.2962612654567743e-13
0.09090909090909091,2,11,211.48846153846154,-0.14423076923076922,1.0769230769230769,21.53846153846154,1.8937573964497634,0.00845000000000001,5.7988165680472e-05,0.10650887573964668,3.953883987567673e-07,3.7532710423372835e-14
